0,Unknown
Aco/germany,A/co Germany
Acord,Acord Ngo
Afric,Africa
Africa 2000 Network/undp,African 2000 Network
African Realief Committe Of Ku,African  Relief
African Relie,African  Relief
Afriican Reli,African  Relief
Amrefe,Amref
Apm[africa Precious Metals Lt,Apm
Arabs Community,Arab Community
Babtest,Baptist Church
Babtist,Baptist Church
Batist Church,Baptist Church
Bingo Foundation Germany,Bingo Foundation
Bread Of The Worl,Bread For The Wor
Bukwang Church Saint,Bukwang Church Saints
Buptist,Baptist Church
Canada Aid,Canada
Care Int,Care International
Cartas Tanzania,Caritas
Cdft,Cdtf
Ces (gmbh),Ces(gmbh)
Christan Outrich,Christian Outrich
Cipro/care,Cipro
Cipro/care/tcrs,Cipro
Cipro/government,Cipro
Comunedi Roma,Comune Di Roma
Concern /govern,Concern
Concern World Wide,Concern
Concern/governm,Concern
Cpps Mission,Cpps
Cristan Outrich,Christian Outrich
Danida /government,Danida
Dasiip,Dasip
Dasp Ltd,Dasp
Dassip,Dasip
Dbsp,Dbspe
Ded Kilo,Ded
Ded/rwssp,Ded
Ded_rwsp,Ded
Dhv Moro,Dhv
Dhv/gove,Dhv
Dhv\norp,Dhv
Dhv\swis,Dhv
Dmd,Dmdd
Dmdd/solider,Dmdd
Dmk Anglican,Dmk
Dmmd,Dmdd
Domestic Rural Development Pr,Domestic Rural Development Pro
Drdp,Drdp Ngo
Dwe And Veo,Dwe
Dwe/anglican Church,Dwe
Dwe/bamboo Projec,Dwe
Dwe/norad,Dwe
Dwe/rudep,Dwe
Dwe/ubalozi Wa Marekani,Dwe
Egypt Government,Egypt
Egypt Technical Co Operation,Egypt
Embasy Of Japan In Tanzania,Japan
Enyuati,Enyueti
Eung-am Methodist Church,Eung Am Methodist Church
Farm-africa,Farm Africa
Fin Water,Finn Water
Fini Water,Finn Water
Finidagermantanzania Govt,Finida German Tanzania Govt
Finland Government,Finland
Finw,Finn Water
Finwater,Finn Water
Fiwater,Finn Water
Fpct Church,Fpct
Fpct Mulala,Fpct
Fptc - Pent,Fpct
Germany Cristians,German Missionary
Germany Misionary,German Missionary
Germany Missionary,German Missionary
Germany Republi,Germany
Government,Government Of Tanzania
Government /sda,Government Of Tanzania
Government /tassaf,Government Of Tanzania
Government /world Vision,Government Of Tanzania
Government And Community,Government Of Tanzania
Government Of Misri,Government Of Tanzania
Government/ Community,Government Of Tanzania
Government/ World Bank,Government Of Tanzania
Government/school,Government Of Tanzania
Government/tassaf,Government Of Tanzania
Government/tcrs,Government Of Tanzania
Halimashau,Halmashauri
Halimashauli,Halmashauri
Halmashauli,Halmashauri
Halmashaur,Halmashauri
Halmashauri Wil,Halmashauri
Halmashauri Ya Manispa Tabora,Halmashauri
Halmashauri Ya Wilaya,Halmashauri
Halmashauri Ya Wilaya Sikonge,Halmashauri
Hamref,Ham
Handeni Trunk Maini,Handeni Trunk Main(
Hapa Singida,Hapa
Hesaw,Hesawa
Hesawa And Concern World Wide,Hesawa
Hesawwa,Hesawa
Holand,Holland
Ilo/undp,Ilo
Insititutiona,Institution
Institutional,Institution
Insututional,Institution
Irevea Sister Water,Irevea Sister
Isf / Tasaff,Isf
Isf/government,Isf
Isf/gvt,Isf
Isf/tacare,Isf
Islam,Islamic
Islamic Agency Tanzania,Islamic
Islamic Community,Islamic
Islamic Found,Islamic
Islamic Society,Islamic
Italian,Italy
Italy Government,Italy
Japan  Food Aid Counter Part,Japan
Japan Aid,Japan
Japan Embassy,Japan
Japan Food,Japan
Japan Food Aid,Japan
Japan Government,Japan
Jeshi La Wokovu [cida],Jeshi La Wokovu
Jeshi Lawokovu,Jeshi La Wokovu
Kadip,Kadp
Kigoma Municipal Council,Kigoma Municipal
Lawate Fuka Water Suppl,Lawatefuka Water Supply
Lion Clu,Lions Club
Lions,Lions Club
Lions C,Lions Club
Lions Club Kilimanjaro,Lions Club
Losakia Water Supply,Losaa-kia Water Supply
Lotary Club,Rotary Club
Lotary International,Rotary Club
Lottery,Lottery Club
Lutheran,Lutheran Church
Lwi & Central Government,Lwi
Magadini Makiwaru Water,Magadini-makiwaru Water
Maju Mugumu,Maji Mugumu
Member O,Member Of Parliament
Member Of Perliament Ahmed Ali,Member Of Parliament
Mfuko Wa Jimbo La Magu,Mfuko Wa Jimbo
Mkinga  Distric Cou,Mkinga Distric Coun
Mosqure,Mosque
Msikiti Masji,Msikiti
Mtuwasa And Community,Mtuwasa
Muwasa,Muwsa
Mzee Don,Mzee
Mzee Lesilali,Mzee
Mzee Mabena,Mzee
Mzee Mkungata,Mzee
Mzee Ngwatu,Mzee
Mzee Omari,Mzee
Mzee Salum Bakari Darus,Mzee
Mzee Sh,Mzee
Mzee Shindika,Mzee
Mzee Smith,Mzee
Mzee Waziri Tajari,Mzee
Mzee Yassin Naya,Mzee
Mzungu,Mzungu Paul
Natherland,Netherlands
National Rural (wb),National Rural
National Rural And Hfa,National Rural
Nazalet Church,Nazareth Church
Nerthlands,Netherlands
Nethalan,Netherlands
Nethe,Netherlands
Netherla,Netherlands
Netherland,Netherlands
Ngo,Ngos
Norad /government,Norad
Norad/ Kidep,Norad
Norad/ Tassaf,Norad
Norad/ Tassaf Ii,Norad
Norad/government,Norad
Norad/japan,Norad
Norad/rudep,Norad
Not Known,Unknown
Oikos E .Africa/european Union,Oikos
Oikos E.Africa/ European Union,Oikos
Oikos E.Africa/european Union,Oikos
Oikos E.Afrika,Oikos
Others,Unknown
Ox,Oxfam
Oxfam Gb,Oxfam
Oxfarm Gb,Oxfarm
Padep(mifugo),Padep
Parastatal An,Parastatal
Pentecost,Pentecostal Church
Pentecosta Church,Pentecostal Church
Piscop,Piscope
Private Co,Private
Private Individul,Private Individual
Private Institutions,Private
Private Owned,Private
Private Person,Private Individual
Quick Win,Quick Wins
Quick Win Project,Quick Wins
Quick Win Project /council,Quick Wins
Quick Win/halmashauri,Quick Wins
Quick Wings,Quick Wins
Quick Wins Scheme,Quick Wins
Quicklw,Quick Wins
Quickwi,Quick Wins
Quickwins,Quick Wins
Quik,Quick Wins
Quwkwin,Quick Wins
Qwckwin,Quick Wins
Qwekwin,Quick Wins
Qwick Win,Quick Wins
Qwickwin,Quick Wins
Qwiqwi,Quick Wins
Rc Ch,Rc Church
Rc Churc,Rc Church
Rc Church/centr,Rc Church
Rc Mi,Rc Mission
Rc Missi,Rc Mission
Rc Missionary,Rc Mission
Rc/mission,Rc Mission
Rcchurch/cefa,Rc Church
Redcross,Red Cross
Regwa Company Of Egpty,Regwa Company Of Egypt
Resolute Golden Pride Project,Resolute
Resolute Mining,Resolute
Resolute Mininggolden Pride,Resolute
Romam Catholic,Roman Catholic
Roman,Roman Catholic
Roman Ca,Roman Catholic
Roman Catholic Rulenge Diocese,Roman Catholic
Roman Cathoric,Roman Catholic
Roman Cathoric -kilomeni,Roman Catholic
Roman Cathoric Church,Roman Catholic
Roman Cathoric Same,Roman Catholic
Roman Cathoric-same,Roman Catholic
Roman Church,Roman Catholic
Rotary,Rotary Club
Rotary Club Australia,Rotary Club
Rotary Club Kitchener,Rotary Club
Rotary Club Of Chico And Moshi,Rotary Club
Rotary Club Of Usa And Moshi,Rotary Club
Rotary I,Rotary Club
Rotaty Club,Rotary Club
Rotery C,Rotary Club
Rudep /dwe,Rudep
Rudep/norad,Rudep
Runduman,Rundu Man
Rural,Rural Water Supply
Rural Drinking Water Supply,Rural Water Supply
Rural Water Department,Rural Water Supply
Rural Water Supply And Sanita,Rural Water Supply
Rural Water Supply And Sanitat,Rural Water Supply
Rwsp,Rwssp
Rwsso,Rwssp
Rwssp Shinyanga,Rwssp
Rwssp/wsdp,Rwssp
Rwsssp,Rwssp
Schoo,School
School Adm9nstrarion,School
Shule Ya Msingi Ufala,Shule Ya Msingi
Swedish,Sweden
Sweeden,Sweden
Swidish,Sweden
Swisland/mount Meru Flowers,Swisland/ Mount Meru Flowers
Tag Church Ub,Tag Church
Tanz Egypt Technical Cooper,Egypt
Tanz/egypt Technical  Co-op,Egypt
Tanzania /egypt,Egypt
Tanzania Egypt Technical Co Op,Egypt
Tasaf 1,Tasaf
Tasaf And Lga,Tasaf
Tasaf And Mmem,Tasaf
Tasaf Ii,Tasaf
Tasaf/dmdd,Tasaf
Tasaf/tlc,Tasaf
Tasafu,Tasaf
