0,777
A/co Germany,15
Aar,33
Abas Ka,1
Abasia,43
Abc-ihushi Development Cent,1
Abd,7
Abdala,1
Abddwe,1
Abdul,1
Abood,2
Abs,1
Aco/germany,13
Acord,3
Acord Ngo,2
Acra,46
Act,1
Act Mara,1
Action Aid,8
Action Contre La Faim,9
Action In A,1
Adap,4
Adb,448
Adf,6
Adp,25
Adp Bungu,2
Adp Mombo,14
Adp/w,2
Adra,263
Af,12
Afdp,1
Afric,1
Africa,2
Africa 2000 Network/undp,2
Africa Amini Alama,2
Africa Project Ev Germany,1
African,128
African 2000 Network,2
African Barrick Gold,2
African Development Bank,35
African Development Foundation,6
African Muslim Agency,15
African Realief Committe Of Ku,2
African Reflections Foundation,1
African Relie,15
Africaone Ltd,1
Africare,7
Afriican Reli,1
Afroz Ismail,1
Afya Department Lindi Rural,1
Agape Churc,1
Agt Church,1
Ahmadia,1
Ai,12
Aic,13
Aic Church,2
Aic Kij,1
Aict,85
Aimgold,9
Aixos,1
Alia,1
Ambwene Mwaikek,1
Amref,425
Amrefe,1
Anglican Church,126
Angrikana,8
Anjuman E Seifee,3
Answeer Muslim Grou,1
Apm,1
Apm[africa Precious Metals Lt,1
Aqua Blues Angels,1
Arab Community,1
Arabi,1
Arabs Community,2
Ardhi Instute,2
Area,1
Artisan,1
Asb,18
Asdp,5
Asgerali N Bharwan,1
Auwasa,10
Awf,3
B.A.P,1
Ba As,13
Babtest,1
Babtist,1
Bahewasa,17
Bahresa,1
Bakari Chimkube,1
Bakwata,1
Ballo,1
Balo,5
Balyehe,1
Banca Reale,1
Bank,22
Bao,1
Baptist Church,7
Baric,7
Bathlomew Vicent,1
Batist Church,1
Belgian Government,10
Belgij,3
Bened,17
Benguka,13
Bffs,9
Bfwd,1
Bgm,24
Bgss,1
Bgssws,1
Bhws,1
Bilila,5
Bingo Foundation,3
Bingo Foundation Germany,1
Bio Fuel Company,2
Biore,31
Birage,1
Bkhws,1
Boazi,1
Boazi /o,1
Bobby,3
Bokera W,2
Boma Saving,1
Bong-kug Ohh/choonlza Lee,1
Bonite Bottles Ltd,1
Br,8
Bra,1
Brad,1
Brdp,5
Bread For The Wor,2
Bread Of The Worl,1
Bridge North,4
British Colonial Government,8
British Tanza,2
Brown,1
Bruder,16
Bs,7
Bsf,117
Bukumbi,1
Bukwang Church Saint,1
Bukwang Church Saints,1
Buluga Subvillage Community,1
Bulyahunlu Gold Mine,13
Bumabu,1
Buptist,1
Busoga Trust,1
C,2
Cafod,41
Caltas,5
Caltas Tanzania,1
Caltaz Kahama,1
Caltus,6
Calvary Connect,2
Camartec,1
Camavita,8
Canada,12
Canada Aid,1
Care Int,1
Care International,24
Care/cipro,2
Care/dwe,1
Caritas,70
Carmatech,1
Cartas Tanzania,4
Cast,4
Cathoric,1
Cbhi,5
Cc Motor Day 2010,1
Ccp,1
Ccpk,1
Ccps,1
Cct,18
Cdcg,26
Cdft,1
Cdg,4
Cdtf,70
Cdtfdistrict Council,2
Cefa,67
Cefa-njombe,23
Cefa/rcchurch,1
Ces (gmbh),165
Ces(gmbh),260
Cg,30
Cg/rc,1
Cgc,1
Cgi,2
Ch,1
Chacha,2
Chacha Issame,1
Chai Wazir,1
Chama Cha Ushirika,1
Chamavita,10
Chani,2
Charlotte Well,1
Cheni,3
China Government,51
Chmavita,1
Chongolo,1
Christan Outrich,1
Christian Outrich,4
Chuo,1
Churc,30
Church,5
Church Of Disciples,1
Cida,1
Cip,2
Cipro,2
Cipro/care,3
Cipro/care/tcrs,7
Cipro/government,21
Clause,6
Cmcr,23
Cmsr,81
Co,111
Cobashec,9
Cocen,52
Cocern,29
Cocu,1
College,1
Colonial Government,3
Commu,62
Community,126
Community Bank,1
Compa,2
Company,2
Compasion International,1
Comune Di Roma,1
Comunedi Roma,1
Comunity Construction Fund,1
Conce,68
Concen,4
Concern,108
Concern /govern,6
Concern World Wide,145
Concern/governm,3
Cope,2
Costantine Herman,1
Council,9
Cpar,1
Cper,1
Cpps,4
Cpps Mission,1
Cpro,5
Craelius,1
Cristan Outrich,1
Crs,1
Csf,1
Cspd,30
Cvs Miss,1
D,8
D Ct,1
Da Unoperaio Siciliano,1
Dacp,1
Dadid,1
Dadis,25
Dadp,3
Dads,46
Dae Yeol And Chae Lynn,1
Dagida,1
Daida,1
Dak,11
Daldo,1
Danida,3114
Danida /government,3
Dar Al Ber,15
Dar Es Salaam Round Table,1
Dasiip,1
Dasip,37
Dasp,18
Dasp Ltd,1
Dassip,14
Dawasa,2
Dawasco,6
Dbfpe,3
Dbsp,1
Dbspe,5
Dct,19
Ddca,1
Ddp,5
De,10
Ded,198
Ded Kilo,1
Ded/rwssp,1
Ded_rwsp,1
Denat,2
Denish,2
Deogratius Kasima,1
Desk And Chair Foundation,9
Devon Aid Korogwe,46
Dfid,110
Dgv,1
Dh,213
Dhinu,3
Dhv,829
Dhv Moro,19
Dhv/gove,10
Dhv\norp,32
Dhv\swis,1
Dimon,1
Dina,1
Dioce,2
Diocese Of Geita,4
Diocese Of Mount Kilimanjaro,1
District Council,843
District Medical,1
District Rural Project,1
Diwani,3
Dmd,1
Dmdd,186
Dmdd/solider,1
Dmk,5
Dmk Anglican,1
Dmmd,2
Dmo,2
Do,8
Doctor Mwambi,1
Doddea,3
Dokta Mwandulam,1
Dom,1
Domestic Rural Development Pr,1
Domestic Rural Development Pro,5
Domestic Water Supply Project,2
Dominiki Simwen,1
Doner And Com,1
Doner And Ded,1
Donor,41
Dqnida,1
Drdp,1
Drdp Ngo,17
Drv Na Idara,1
Drwssp,1
Dsdp,1
Dsp,2
Duka,1
Duwas,8
Dv,1
Dw,27
Dwarf,1
Dwe,484
Dwe And Veo,2
Dwe/anglican Church,1
Dwe/bamboo Projec,4
Dwe/norad,50
Dwe/rudep,1
Dwe/ubalozi Wa Marekani,1
Dwsdp,1
Dwsp,811
Dwssp,47
Dwst,1
Dwt,3
Ea,5
Eastmeru Medium School,1
Eater,1
Ebaha,8
Eco Lodge,1
Education Funds,1
Efg,19
Egypt,2
Egypt Government,2
Egypt Technical Co Operation,1
El,7
Elca,1
Elct,15
Embasy Of Japan In Tanzania,1
Engin,3
Engineers Without Border,1
Eno,2
Enyuati,1
Enyueti,3
Ereto,28
Ermua,1
Erre Kappa,1
Esawa,1
Ester Ndege,1
Eu,3
Eu/acra,18
Eung Am Methodist Church,1
Eung-am Methodist Church,1
European Union,48
F,3
Fabia,1
Fao,2
Farm Africa,4
Farm-africa,1
Fathe,37
Father Bonifasi,17
Father W,2
Fdc,1
Fida,1
Filo,6
Fin Water,72
Fini Water,393
