-,other
0,other
Active KMK,Active MKM
ACTIVE TANK CO LTD,ACTIVE TANK CO
ADP Busangi,ADP
Adra /Community,Adra
ADRA /Government,ADRA
Adra/ Community,Adra
Adra/Community,Adra
ADRA/Government,ADRA
Africaone,Africaone Ltd
AMP Contract,AMP contractor
AMP Contracts,AMP contractor
Anglica Church,Anglican Church
Anglican,Anglican Church
Anglican church,Anglican Church
Anglican Uganda,Anglican Church
Arab community,Arabs Community
Ardhi Water Wells,Ardhi Water well
Atlas,Atlas Company
BAPTIST CHURCH,BAPTIST CHURCH OF TANZANIA
BATIST CHURCH,BAPTIST CHURCH OF TANZANIA
Cebtral Government,Central Government
Cental Government,Central Government
Centr,Central Government
Centra Government,Central Government
Centra govt,Central Government
Central government,Central Government
Central govt,Central Government
Cetral government /RC,Central Government
Commu,Community
Communit,Community
Comunity,Community
Consultant,Consulting Engineer
Consultant and DWE,Consulting Engineer
Consultant Engineer,Consulting Engineer
Consulting engineer,Consulting Engineer
Consuting Engineer,Consulting Engineer
DANIAD,DANIDA
DANID,DANIDA
DANIDA CO,DANIDA
DANIDS,DANIDA
DANNIDA,DANIDA
Distric Water Department,District Water Department
District  Council,District Council
District Counci,District Council
District COUNCIL,District Council
District council,District Council
District water depar,District Water Department
District Water Department,District Water Department
District water department,District Water Department
DW E,DWE
DW#,DWE
DW$,DWE
Dwe,DWE
DWE /TASSAF,DWE
DWE & LWI,DWE
DWE},DWE
DWE/,DWE
DWE/Anglican church,DWE
DWE/TASSAF,DWE
DWE/Ubalozi wa Marekani,DWE
DWE&,DWE
DWEB,DWE
FIN WATER,FINI WATER
Fin Water,FINI WATER
Fin water,FINI WATER
FINI Water,FINI WATER
FiNI WATER,FINI WATER
Fini Water,FINI WATER
Fini water,FINI WATER
FINLAND,FINI WATER
Finland Government,FINI WATER
FINN WATER,FINI WATER
FinW,FINI WATER
FinWate,FINI WATER
FinWater,FINI WATER
Finwater,FINI WATER
Got,Government
Gove,Government
GOVER,Government
Gover,Government
GOVERM,Government
GOVERN,Government
GOVERNME,Government
Governme,Government
Governmen,Government
GOVERNMENT,Government
Government,Government
Government /Community,Government
Government /SDA,Government
Government /TCRS,Government
Government /World Vision,Government
Government and Community,Government
Government of Misri,Government
Government/TCRS,Government
Handeni Trunk Main(,Handeni Trunk Main
HEESAW,HESAWA
HESAW,HESAWA
HesaWa,Hesawa
HESAWQ,HESAWA
HESAWS,HESAWA
HESAWZ,HESAWA
Hesawz,Hesawa
Hesewa,Hesawa
HOLAND,HOLLAND
IS,ISF
ISF / TASAFF,ISF
ISF and TACARE,ISF
ISF/Government,ISF
ISF/TACARE,ISF
JAICA CO,JAICA
JALCA,JAICA
Kiliwater r,Kiliwater
Kilwater,Kiliwater
KK,KKKT
KKKT _ Konde and DWE,KKKT
KKKT Canal,KKKT
KKKT CHURCH,KKKT
KKKT DME,KKKT
KKKT Katiti juu,KKKT
KKKT Kilinga,KKKT
KKKT Leguruki,KKKT
KKKT MAREU,KKKT
KKKT Ndrumangeni,KKKT
KKKT-Dioces ya Pare,KKKT
KKT,KKKT
KKT C,KKKT
Kuwaiti,Kuwait
Kuweit,Kuwait
Lawate fuka water su,Lawatefuka water sup
Local,Local technician
Local  technician,Local technician
Local l technician,Local technician
Local te,Local technician
Local technical,Local technician
Local technical tec,Local technician
Local technitian,Local technician
Locall technician,Local technician
Localtechnician,Local technician
Losa-kia water suppl,Losaa-Kia water supp
Losakia water supply,Losaa-Kia water supp
Magadini Makiwaru wa,Magadini-Makiwaru wa
MWE &,MWE
NORA,NORAD
Norad,NORAD
NORAD/,NORAD
Oikos E Africa,Oikos E .Africa
Oikos E. Africa,Oikos E .Africa
Oikos E.Africa,Oikos E .Africa
Oikos E.Afrika,Oikos E .Africa
OXFARM,OXFAM
Priva,Private
Privat,Private
Private company,Private
Private individuals,Private
Private owned,Private
Private person,Private
Private Technician,Private
R.C,RC
RC .Church,RC
RC C,RC
RC CATHORIC,RC
RC CH,RC
RC Ch,RC
rc ch,RC
RC Churc,RC
RC CHURCH,RC
RC Church,RC
RC church,RC
rc church,RC
RC CHURCH BROTHER,RC
RC church/CEFA,RC
RC church/Central Gover,RC
RC Mi,RC
RC Mis,RC
RC MISSION,RC
RC mission,RC
Rc Mission,RC
RC MISSIONARY,RC
RC Msufi,RC
RC Njoro,RC
RC/Mission,RC
RCchurch/CEFA,RC
Roma,RC
Romam,RC
Roman,RC
Roman Ca,RC
ROMAN CATHOLIC,RC
Roman Catholic,RC
Roman catholic,RC
Roman Catholic Rulenge Diocese,RC
Roman Cathoric -Kilomeni,RC
Roman Cathoric -Same,RC
Roman Cathoric Same,RC
Roman Church,RC
Rotar,Rotary club
Rotary Club,Rotary club
Rotary club Australia,Rotary club
Rotary club kitchener,Rotary club
Rotary Club of Chico and Moshi,Rotary club
Rotary Club of USA and Moshi,Rotary club
Rotery c,Rotary club
RW,RWE
RWE /Community,RWE
RWE Community,RWE
RWE/ Community,RWE
RWE/Community,RWE
RWE/DWE,RWE
RWE/TCRS,RWE
RWEDWE,RWE
RWET/WESA,RWE
RWI,RWE
RWSP,RWSSP
SEMA CO LTD,SEMA
SEMA Consultant,SEMA
SHIP,SHIPO
SHIPO CONSTRUCTORS,SHIPO
TASA,TASAF
Tasaf,TASAF
TASAF 1,TASAF
TASAF and Comunity,TASAF
Tasaf and Lga,TASAF
TASAF and MMEM,TASAF
TASAF/,TASAF
TASAF/DMDD,TASAF
TASAF/TLC,TASAF
TASAFcitizen and LGA,TASAF
TASF,TASAF
TASSAF,TASAF
TASSAF /TCRS,TASAF
TASSAF/ TCRS,TASAF
TASSAF/TCRS,TASAF
TCRS /CARE,TCRS
TCRS /DWE,TCRS
TCRS /Government,TCRS
TCRS /TWESA,TCRS
TCRS a,TCRS
TCRS Kibondo,TCRS
TCRS TWESA,TCRS
TCRS.TLC,TCRS
TCRS/ TASSAF,TCRS
TCRS/ TWESA,TCRS
TCRS/CARE,TCRS
TCRS/DWE,TCRS
TCRS/TLC,TCRS
TCRS/TWESA,TCRS
TCRS/village community,TCRS
TWESA /Community,TWESA
TWESA/ Community,TWESA
TWESA/Community,TWESA
TWESA/JAMII,TWESA
TWESS,TWESA
Unicef,UNICEF
UNICRF,UNICEF
Unisef,UNICEF
Vill,Villagers
Villa,Villagers
Villaers,Villagers
VILLAG,Villagers
Villag,Villagers
VILLAGE,Villagers
Village,Villagers
Village  Council,Villagers
Village Community,Villagers
Village community,Villagers
Village community members,Villagers
VILLAGE COUNCIL,Villagers
ViLLAGE COUNCIL,Villagers
Village Council,Villagers
Village council,Villagers
VILLAGE COUNCIL .ODA,Villagers
VILLAGE COUNCIL Orpha,Villagers
Village Counil,Villagers
Village Government,Villagers
Village government,Villagers
Village Govt,Villagers
Village govt,Villagers
Village local contractor,Villagers
Village Office,Villagers
Village Technician,Villagers
Village water attendant,Villagers
VILLAGE WATER COMMISSION,Villagers
Village water committee,Villagers
VILLAGER,Villagers
Villager,Villagers
villager,Villagers
Villagerd,Villagers
VILLAGERS,Villagers
Villagers,Villagers
villagers,Villagers
Villages,Villagers
Villege Council,Villagers
Villi,Villagers
villigers,Villagers
Wanan,wananchi
wanan,wananchi
Wananchi,wananchi
wananchi technicians,wananchi
WATER,WATER AID
Water,WATER AID
WATER  AID,WATER AID
Water  Aid/Maji tech,WATER AID
Water  Aid/Sema,WATER AID
WATER  AIDS,WATER AID
Water /sema,WATER AID
Water AID,WATER AID
Water Aid,WATER AID
Water aid,WATER AID
Water Aid /sema,WATER AID
Water aid /sema,WATER AID
Water Aid/DWE,WATER AID
Water Aid/Sema,WATER AID
Water Aid/sema,WATER AID
Water aid/sema,WATER AID
Water board,Water board
water board,Water board
Water boards,Water board
WATERAID,WATER AID
WB,Water board
WB / District Council,Water board
WEDECO/WESSONS,WEDECO
WEDEKO,WEDECO
WIZARA,Wizara ya maji
Wizara  ya maji,Wizara ya maji
wizara ya maji,Wizara ya maji
Wizra ya maji na egypt,Wizara ya maji
Word Bank,World Bank
Word bank,World Bank
Word divisio,World Vision
WORDL BANK,World Bank
World,World Vision
world,World Vision
WORLD BANK,World Bank
World bank,World Bank
World banks,World Bank
world banks,World Bank
World Division,World Vision
WORLD NK,World Vision
World Visiin,World Vision
WORLD VISION,World Vision
World vision,World Vision
world vision,World Vision
World Vission,World Vision
WOULD BANK,World Bank
