-,3
0,777
A.D.B,1
AAR,4
ABASIA,29
ABD,1
ABDALA,1
ABDUL,1
AC,2
ACORD,3
ACRA,278
ACT,1
ACT MARA,1
ACTION AID,1
ACTIVE TANK CO,9
ACTIVE TANK CO LTD,2
AD,14
ADAP,4
ADB,5
ADP,19
ADP Busangi,14
ADRA,55
ADRA /Government,6
ADRA/Government,3
AF,4
AFRICA,2
AFRICA MUSLIM,1
AFRICAN DEVELOPMENT FOUNDATION,6
AFRICAN REFLECTIONS FOUNDATION,1
AGRICAN,1
AI,11
AIC,10
AIC KI,1
AICT,84
AIMGOLD,9
AIXOS,1
ALIA,1
ALLYS,1
AMP Contract,6
AMP Contracts,6
AMP contractor,9
AMREF,329
ANGLI,5
ANGLIKANA CHURCH,1
ANGRIKANA,7
ANSWAR,1
APM,2
AQAL,2
AQUA BLUES ANGELS,1
AQUA WEL,1
AQUA Wat,1
AQUA Wel,1
AQUARMAN DRILLERS,2
ASDP,2
ATIGH BUILDINGS,10
AUSTRALIA,4
AUWASA,10
Aartisa,1
Abdallah Ally Wazir,1
Accra,30
Action Aid,1
Action Contre La Faim,8
Action Contre la Faim,1
Active KMK,1
Active MKM,26
Adam,2
Adam Kea,1
Adam mualuaka,1
Adra,80
Adra /Community,55
Adra/ Community,17
Adra/Community,60
Adrs,1
Af,25
Africa,4
Africa Amini Alama,2
Africa Islamic Agency Tanzania,3
Africa M,1
Africa Muslim Agenc,2
African Muslims Age,2
African Realief Committe of Ku,2
Africaone,1
Africaone Ltd,1
Africare,2
Afroz Ismail,1
Ahmad,1
Al Ha,1
Alex moyela,1
Altai Co. ltd,1
Amadi,1
Amari,1
Amboni Plantation,4
Amboni plantation,1
Ambrose,1
Amec,2
American,1
Amref,114
Angli,92
Anglica Church,1
Anglican,2
Anglican Church,3
Anglican Uganda,1
Anglican church,3
Anglikan,1
Anglikana,1
Angrikana,1
Ansnani Murij,1
Aqual,1
Aqwaman Drilling,1
Ar,2
Arab community,1
Arabs Community,2
Ardhi Instute,3
Ardhi Water Wells,1
Ardhi Water well,1
Ardhi and PET Companies,1
Ardhi water well,10
Arisan,1
Arrian,1
Artisan,135
Athumani  Janguo,2
Athumani Issa,1
Atisan,4
Atlas,1
Atlas Company,5
B.A.P,1
BABTEST,1
BALYEH,1
BAPTIST CHURCH,1
BAPTIST CHURCH OF TANZANIA,1
BATIST CHURCH,1
BEMANDA,1
BENGUKA,13
BESADA,26
BESADO,1
BFFS,5
BGM,21
BGSS,1
BILILA,5
BIORE,1
BKHWS,1
BOAZI,1
BOMA SAVING,1
BR,8
BRA,1
BRUDER,16
BSF,35
BUKUMB,1
BUMABU,1
Baadela,1
Babu Sajin,1
Babu Sajini,1
Bahresa,1
Bao,1
Baric,7
Barry A. Murphy,1
Belgiam Government,8
Belgij,3
Benjamin,1
Bhoke Mwita,1
Billy Phillips,1
Bingo foundation,2
Bingo foundation Germany,1
BioRe,3
Biore,1
Birage,1
Bobby,3
Bokera W,2
Boni,1
Bonite Bottles Ltd,1
Brad,1
Bridge north,4
Britain,1
British,1
British colonial government,3
British government,1
Buguba,3
Building works Company Ltd,3
Building works engineering Ltd,1
Bulyahunlu Gold Mine,8
Buruba,1
Busoga trust,1
C,1
CALTAZ KAHAMA,1
CAP,1
CARE,1
CARE/CIPRO,1
CARITAS,3
CARTAS,9
CARTAS Tanzania,4
CBHCC,41
CCEC,29
CCP,1
CCPK,1
CCPS,2
CCT,9
CDT,1
CDTF,50
CEFA,75
CEFA/rc church,1
CENTRAL GOVERNMENT,14
CES,610
CF Builders,1
CG,19
CG/RC,1
CGI,1
CH,1
CHANDE CO,1
CHANI,2
CHELA,1
CHENI,3
CHINA,4
CHINA Co.,1
CHINA HENAN CONSTUCTION,1
CHINA HENAN CONTRACTOR,10
CHONJA CHARLES,1
CHRISTAN OUTRICH,1
CHRISTIAN OUTRICH,2
CHURC,1
CIP,2
CIPRO,2
CIPRO/CARE,3
CIPRO/CARE/TCRS,6
CIPRO/Government,21
CITIZEN ENGINE,17
CJEJ0,1
CJEJOW,3
CJEJOW CONSTRUCTION,27
CMSR,24
COBASHEC,3
COCANE,27
COCU,1
COEK,2
COEW,1
COMMU,4
COMMUNITY,2
COMMUNITY BANK,1
COMPASION INTERNATIO,1
CONCE,1
CONCERN,22
CONS,24
COSMOS ENG LTD,7
COUN,7
COW,1
COWI,1
COYI,1
CPRO,5
CRAELIUS,1
CRISTAN OUTRICH,1
CRS,1
CSPD,5
CVS Miss,1
Caltas,4
Caltus,4
Calvary connection,2
Camartec,1
Canada na Tanzania,12
Canop,13
Care  international,1
Care international,22
Carmatech,1
Cast,4
Cathoric,1
Ce,23
Cebtral Government,5
Cefa,15
Cental Government,6
Centr,162
Centra Government,1
Centra govt,1
Central Government,110
Central basin,1
Central government,622
Central govt,138
Cetral government /RC,1
Ch,34
Chacha,1
Chacha Issame,1
Chama cha Ushirika,1
Chamavita,75
Charlotte Well,1
Chiko,5
China,5
Chinese,1
Christina Magoge,1
Christopher,1
Chuo,1
Chur,17
Church,4
Church Of Disciples,1
Cida,1
Clause workers,6
Claver,1
Co,55
College,1
Colonial Government,2
Colonial government,1
Commu,1060
Communit,54
Community,553
Compa,2
Company,1
Comunity,2
Conce,11
Concen,4
Concern,18
Concern /government,7
Concern/Government,2
Cons,7
Consultant,12
Consultant Engineer,11
Consultant and DWE,5
Consulting Engineer,116
Consulting engineer,3
Consuting Engineer,21
Conta,1
Contr,8
Cosmo,22
Cosmos Engineering,12
Coun,1
Counc,5
Council,8
Crety,1
Cultus,2
D,10
D$L,1
DA,84
DADIS,1
DADP,2
DADS,17
DADS/Village community,2
DADS/village Community,1
DADS/village community,5
DAK,11
DALDO,12
DANIAD,1
DANID,552
DANIDA,1050
DANIDA CO,1
DANIDS,1
DANNIDA,1
DANNY,2
DAR ES SALAAM ROUND TABLE,1
DARDO,6
DASIP,6
DASP,2
DASSIP,2
DAWASA,1
DAWASCO,64
DAWE,1
DBFPE,3
DBSP,1
DBSPE,5
DCCA,2
DCT,7
DDCA,126
DDCA CO,2
DDP,2
DDSA,1
DE,2
DED,105
DEE,4
DENISH,2
DESK A,1
DESK C,5
DESK a,1
DEW,1
DFID,1
DH,202
DHV,54
DHV Moro,1
DIMON,1
DIOCESE OF MOUNT KILIMANJARO,1
DISTRICT COUNCIL,12
DIWANI,1
DMDD,89
DMDD/SOLIDER,1
DMK,2
DMMD,1
DO,8
DODDEA,2
DSP,1
DSPU,1
DSV,2
DUWAS,8
DV,1
DW,246
DW E,2
DW#,1
DW$,1
DWE,17402
DWE & LWI,1
DWE /TASSAF,1
DWE&,1
DWE/,7
DWE/Anglican church,1
DWE/TASSAF,1
DWE/Ubalozi wa Marekani,1
DWEB,1
DWE},13
DWR,12
DWSP,192
DWT,2
DWW,1
Da,224
Danda,1
Danid,72
