##,1
'A' Kati,1
1,132
14Kambalage,5
18,1
19,3
20,1
22B,1
23B,1
24,1
24B,1
30,1
42,1
43,1
44,3
45,1
47,1
48,1
49,1
52 A,1
53 A,2
53 B,1
54,2
58 B,3
60,1
61 A,1
61 B,2
61B,1
62,1
63,1
A,4
Abdu Jumbe,2
Abdujumbe,4
Abene,1
Achatuone,1
Adyuoyo,1
Afandi,2
Afrika Yakati,1
Afrka Ya Kati,6
Afya,25
Agentina,2
Ahakabare,1
Ahakagongo,4
Ahakasheshe,2
Ahakinyinya,1
Ahakishaka,6
Ahara,1
Aicho Kaskazini,1
Aicho Kusini,1
Airport,7
Ajida,1
Ajika,1
Akashashabo,1
Akina Mama,1
Akologwe,1
Alabama,3
Alagwa,5
Alairataat,3
Alakirikir,4
Alamba,1
Alara,1
Alasai,1
Alaya,1
Aleilelai,4
Alhamisi,1
Alosinoni,2
Alsini,2
Alugoma,1
Aman,5
Aman Chini,1
Amani,77
Amani Gomvu,1
Ambara,1
Amboni,1
Ambureni,8
Ameni,1
America,1
Amgera,1
Amka Twende,1
Amkatwende,3
Amkeni,3
Ampa,2
Amrumo,1
Amrushu Kisale,5
Amrushu Mamba,5
Amrushu Mseta,1
Amuhama,2
Amurama,4
Amwama,1
Andabei,1
Ang'Atasere,1
Angai,1
Angalia,1
Angola,1
Angweduru A,1
Anna Abdalla,1
Ansi,2
Antakae,1
Antakaye,3
Ants A,4
Ants B,3
Anuru,5
Apembe,1
Apendae,7
Araa,1
Araa Mkunjo,1
Arahati,4
Arashi,3
Arati,5
Arauyo,21
Ariahati,1
Arii,1
Arkaria,5
Arombe,1
Arri,4
Arudeko,11
Arusha,5
Arusha Chini,3
Arusha Juu,1
Asao,1
Ascarida,1
Asd,1
Asenda,1
Aterere,3
Athin Kati,1
Athni Mwisho,1
Atlaa,2
Atsin,1
Atsini,2
Atta Shule,2
Ausiya,3
Aya Hatli,1
Ayagenda,1
Ayaingi,1
Ayalabe,3
Ayalagala,1
Ayalagaya A,3
Ayamaami,1
Ayamohe,1
Ayamuhale,1
Ayarati,1
Ayasanda,2
Ayasloro,1
Azimio,98
Azimio A,1
B,2
B/Center,9
Bacho A,1
Bacho B,5
Badabada,1
Badagi,1
Badunyugi,1
Bagamoyo,28
Bagamoyo A,2
Bagaraa,1
Bagarawe,1
Bagayu,2
Baghai,2
Baghari,1
Bagwe,1
Bahati,5
Bakchan,1
Bakichani,2
Bakichanl,1
Bala,2
Balali,3
Balanga,4
Balangai,6
Balatogwa,2
Balazani,1
Bama,2
Bamba,4
Bamba Kati,2
Bamba Mwarongo,1
Bambai,1
Bambalaga,1
Bambasi,1
Bamnanika,1
Bananga,4
Banawani,1
Banda Bichi,2
Banda La Ngozi,1
Bandagi,1
Bandali,1
Bandawe,1
Bandi,3
Bane,1
Bangamoyo,6
Bangui,3
Banguma Shuleni,2
Bangwe,3
Banya,1
Banyakipesile,1
Banzi,11
Bapulo,1
Baqari,1
Bara,11
Bara Bara Pangani,4
Bara Kati,2
Bara Mjini,1
Bara-Stendi,2
Barabani,1
Barabar Ya Chini,1
Barabara,4
Barabara 1,12
Barabara 10,9
Barabara 11,9
Barabara 12,4
Barabara 1A,1
Barabara 1B,2
Barabara 2,21
Barabara 3,19
Barabara 3B,1
Barabara 3C,1
Barabara 4,20
Barabara 5,16
Barabara 5A,1
Barabara 6,21
Barabara 60,1
Barabara 6B,1
Barabara 7,12
Barabara 8,18
Barabara 9,20
Barabara Kuu,3
Barabara Kuu A,1
Barabara Kuu B,1
Barabara Mbili,1
Barabara Ya 9,1
Barabara Ya Mbamba,1
Barabara Ya Tatu,2
Barabarampya,2
Barabarani,56
Barabarani A,3
Barabarani B,1
Barabaranyoka,1
Barabsrani,1
Barae,1
Barafu,1
Barai,4
Baraka,4
Baraki,3
Barakta,1
Barani,4
Baranyota,3
Barayawe,1
Baraza,1
Baraza A,3
Baraza B,3
Barazani,21
Bare A,5
Bargish Daaw,1
Bariadi,5
Bariadi Mjini,1
Barijomot,2
Barisii,1
Barjomot,1
Barray,3
Bashang,2
Bashay,1
Bashnet Kati,5
Basihaya,1
Basodagaw,2
Basodagwaru,1
Basodarer,1
Bassodesh,3
Bassotu 'B',1
Bastena,3
Bastena Station,2
Bastina,2
Basutu Ndogo,2
Batini,18
Batini A,3
Batini B,7
Batoni,3
Batula,1
Baukani A,2
Baukani B,3
Baura,3
Bavunja A,2
Bavunja B,3
Bawa A,1
Bawa B,1
Baweni,2
Bazo,1
Bbc,2
Bea,1
Beach,9
Bearing,1
Beba,1
Beda,4
Beda B,3
Bedab,1
Bega,1
Bega Kwa Bega,2
Begi,2
Beila,3
Beku,1
Bembeza,1
Benaco,8
Benako,1
Benki,2
Benki Kuu,1
Bepele,4
Beregedi,1
Bereko Kurasini,1
Bereko Mjini,3
Berlingi,2
Bermi A,7
Beru,5
Beselini,8
Besurura,2
Beta,5
Betania,3
Betfage,1
Betherehemu,1
Bethlehem,2
Biafra,9
Biasi,1
Bichande,1
Bichibo,1
Bigabilo A,5
Bigabilo B,1
Bigala,4
Biganana,1
Bigara,2
